,"(Cocoyam, Spinach, etc)",Agricultural eggs,Animal fat,Apples,Avocado pear,Baby milk powder,Bananas,Beef,Beer (local and imported),Biscuits,Bottled water,Bread,Brown beans,Buns/PofPof/Donuts,Butter/Margarine,Cake,Canned beef/corned beef,Canned fish/seafood,Cashew nut,Cassava flour,Cassava-Roots,Cassava-roots,Cheese (wara),Chicken,Chocolate drinks,Chocolate drinks (including Milo),Coconut,Coconut oil,Cocoyam,Coffee,"Condiments,(salt,spices,pepper, etc)",Dry pepper,Duck,Fish-Dried,Fish-Fresh,Fish-Frozen,Fish-Smoked,Fresh milk,Fresh pepper,Fruit canned,Fruit juice canned,Fruit juice canned/Pack,Garden eggs/egg plant,Gari -Yellow,Gari-White,Gin,Goat,Grinded pepper,Ground Ogbono,Ground Pepper,Groundnut oil,Groundnuts,Groundnuts (shelled),Groundnuts (unshelled),Guava,Guinea Corn/Sorghum,Honey,Jams,Kola nut,Local eggs,Maize,Maize (off the cob/grains),Maize (on the cob),Maize (shelled/off the cob),Maize (shelled/on the cob),Maize (unshelled/on the cob),Maize flour,Maize shelled,Malt drinks,Mangoes,Meat pie/Sausage roll,Melon (ground),Melon (shelled),Melon (unshelled),Milk powder,Milk tinned (unsweetened),Millet,Mutton,Ogbonno grinded,Ogbonno ungrinded,Okra-dried,Okra-fresh,Onions,Orange/tangerine,Other alcoholic beverages,Other domestic poultry,Other eggs (not chicken),Other fish or seafood,Other fruites,Other Fruits,Other grains and flour,Other meat (excl. poultry),Other milk products,Other Non-acoholic drinks,Other non-acoholic drinks,Other nuts/seeds/pulses,Other Oil and Fat,Other Oils and Fat,Other oils and fats,Other roots and tuber,Other sweets Confectionary,Other vegetables (fresh or canned),Palm oil,Palm wine,Pawpaw,Pepper,Pineapples,Pito,Plantains,Pork,Potatoes,Rice-Imported,Rice-local,Sachet water,Salt,"Seafood (lobster, crab, prawns)",Sheabutter,Snails,"Soft drinks (Coca cola, spirit etc)",Soya beans,Sugar,Sweet Potatoes,Tea,Tomato puree(canned),Tomatoes,Unground Ogbono,Watermelon,Wheat flour,White beans,Wild game meat,Yam flour,Yam-roots
"Carbohydrate, by difference",3.53,2.36,0.0,14.05,8.53,7.43,22.84,0.0,3.55,33.33,0.0,49.2,0.0,53.52,0.0,66.36,0.0,0.08,67.44,87.5,38.06,38.06,3.57,0.04,16.54,16.54,26.67,0.84,84.0,73.33,66.67,66.67,0.0,0.0,0.0,0.0,0.0,5.42,63.95,14.1,12.41,12.41,5.88,78.57,78.57,0.0,0.0,0.0,14.98,0.0,0.0,21.26,21.26,21.26,11.15,72.09,82.4,68.86,30.0,0.0,14.4,14.4,14.4,14.4,14.4,14.4,73.89,14.4,0.27,14.98,19.21,8.16,8.16,8.16,54.17,11.35,23.67,0.0,14.98,14.98,45.0,7.45,9.34,11.75,0.0,0.0,1.45,17.65,15.96,15.96,76.67,0.0,4.58,10.67,10.67,30.0,0.0,0.0,0.0,28.1,92.86,5.88,0.0,2.72,65.0,63.95,13.12,3.55,31.89,0.0,12.44,28.17,28.17,0.0,0.0,0.0,0.0,2.0,10.36,50.7,99.98,20.12,8.46,8.98,3.89,14.98,7.45,70.7,0.0,0.0,84.0,27.88
"Carbohydrate, by summation",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.69,8.69,8.69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Carbohydrates,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Carotene, alpha",0.0,0.0,0.0,0.0,24.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,132.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,9.0,0.0,27.0,0.0,11.0,0.0,0.0,0.0,0.0,9.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,438.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,101.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0
"Carotene, beta",0.0,0.0,0.0,0.0,62.0,0.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,8.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,310.0,113.0,111.0,111.0,14.0,0.0,0.0,0.0,0.0,0.0,640.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,640.0,339.0,2780.0,2780.0,2780.0,0.0,0.0,2.0,0.0,640.0,640.0,0.0,416.0,1.0,71.0,0.0,0.0,14.0,0.0,47.0,47.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,310.0,35.0,0.0,457.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8509.0,0.0,306.0,449.0,640.0,0.0,0.0,0.0,0.0,0.0,83.0
Cholesterol,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71.0,0.0,53.0,0.0,0.0,0.0,35.0,214.0,14.0,86.0,36.0,23.0,0.0,0.0,0.0,107.0,86.0,7.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,76.0,152.0,49.0,47.0,23.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,375.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,4.0,0.0,73.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,91.0,884.0,6.0,0.0,0.0,0.0,58.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,86.0,0.0,0.0,0.0,0.0,0.0,127.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Choline, total",0.0,0.0,0.0,0.0,14.2,15.4,9.8,57.3,10.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,89.2,29.3,0.0,0.0,23.7,23.7,0.0,58.8,14.2,14.2,0.0,0.3,0.0,0.0,0.0,0.0,31.0,291.3,73.8,65.0,89.0,0.0,11.3,3.7,4.0,4.0,6.9,0.0,0.0,0.0,0.0,0.0,7.6,0.0,0.1,64.6,64.6,64.6,0.0,0.0,2.2,10.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.1,7.6,12.4,0.0,0.0,0.0,0.0,25.2,11.2,69.3,7.6,7.6,0.0,12.3,6.1,8.4,0.0,66.5,263.4,0.0,6.8,6.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,5.0,0.0,11.3,5.5,10.1,13.5,19.3,0.0,2.1,2.1,0.0,0.0,70.3,0.0,65.0,0.3,0.0,0.0,12.3,0.0,17.6,6.7,7.6,0.0,0.0,0.0,0.0,0.0,16.5
"Cobalt, Co",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.9,0.0,0.0,0.0
"Copper, Cu",0.0,0.0,0.0,0.0,0.19,0.049,0.078,0.062,0.005,0.0,0.007,0.124,1.03,0.0,0.0,0.0,0.064,0.048,0.0,0.0,0.1,0.1,0.0,0.065,0.058,0.058,0.0,0.0,0.0,0.0,0.0,0.0,0.236,0.176,0.054,0.019,0.23,0.0,1.33,0.067,0.068,0.068,0.081,0.0,0.0,0.021,0.256,0.0,0.111,0.0,0.0,0.428,0.428,0.428,0.0,0.284,0.036,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.154,0.0,0.008,0.111,0.042,0.085,0.085,0.085,0.0,0.016,0.161,0.101,0.111,0.111,0.0,0.109,0.039,0.045,0.01,0.264,0.062,0.0,0.064,0.064,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.386,0.0,0.0,0.0,0.007,0.0,1.33,0.11,0.005,0.074,0.05,0.423,0.069,0.069,0.01,0.03,1.349,0.0,0.4,0.007,0.0,0.007,0.151,0.0,0.287,0.059,0.111,0.0,0.0,1.05,0.0,0.0,0.178
"Cryptoxanthin, beta",0.0,0.0,0.0,0.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,43.0,42.0,42.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,10.0,0.0,0.0,0.0,116.0,0.0,0.0,12.0,0.0,24.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0
Cysteine,0.0,0.407,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cystine,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.347,0.0,0.0,0.0,0.028,0.028,0.0,0.188,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18,0.0,0.0,0.136,0.0,0.0,0.138,0.0,0.0,0.0,0.006,0.0,0.0,0.0,0.245,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.127,0.003,0.006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002,0.002,0.002,0.0,0.07,0.067,0.198,0.0,0.0,0.0,0.019,0.0,0.0,0.0,0.39,0.285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.197,0.0,0.0,0.0,0.0,0.0,0.138,0.0,0.0,0.0,0.044,0.0,0.055,0.055,0.0,0.0,0.181,0.0,0.0,0.0,0.0,0.0,0.022,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.279,0.0,0.019
